"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power","weibull_power_citable","weibull_power_status","weibull_calibration_source","weibull_empirical_alpha_nominal_05","weibull_z_critical_emp_05","weibull_z_critical_holm","weibull_p_calibrated_observed","weibull_calibration_fit_ok_rate","weibull_power_note"
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,1,-1.67706539494655,2000,1,0.1,0.514,0.2165,0.514,0.2165,0.514,0.2165,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,2,-3.35413078989311,2000,1,0.05,0.8255,0.6145,0.8255,0.6145,0.8255,0.6145,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,2,-3.35413078989311,2000,1,0.1,0.8915,0.6815,0.8915,0.6815,0.8915,0.6815,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,0,0,2000,1,0.05,0.082,0.0145,0.082,0.0145,0.082,0.0145,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,0,0,2000,1,0.1,0.145,0.029,0.145,0.029,0.145,0.029,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,0.25,-1.44840979708353,2000,1,0.05,0.1215,0.025,0.1215,0.025,0.1215,0.025,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,0.25,-1.44840979708353,2000,1,0.1,0.194,0.0425,0.194,0.0425,0.194,0.0425,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,0.5,-2.89681959416705,2000,1,0.05,0.2535,0.087,0.2535,0.087,0.2535,0.087,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,0.5,-2.89681959416705,2000,1,0.1,0.3595,0.118,0.3595,0.118,0.3595,0.118,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,1,-5.7936391883341,2000,1,0.05,0.6665,0.362,0.6665,0.362,0.6665,0.362,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
