"CAMPAIGN","LOCATION","ID","cow","iso3","BYEAR","EYEAR","target","success","limited","failure","ongoing","viol","NONVIOL","FSELFDET","REGCHANGE","SECESSION","OTHER","Num_Image_sum","Num_Banner_sum","Eng_Banner_sum","v2svindep","v2svdomaut","v2svinlaut","v2svstterr","v2csreprss","v2xcl_dmove","v2x_clpol","v2cldmovem","v2cldmovew","v2x_civlib","v2mecenefi","v2mecenefm","v2peedueq","v2caassemb","p_polity2","lngdp","lnpop","wdi_fdiin","wdi_import","wdi_export","aid_crsc","aid_crsio","aid_crnc","aid_crnio","ht_region","wdi_trade","wdi_eneimp","wdi_debt","dr_eg","dr_sg","dr_ig","atop_number","oecd_tiva_t1","fi_ftradeint_pd","ht_colonial","lengthofcampaign","lnlengthofcam","success3","lnnum_image_sum","lnaid","goals","eng_prob_general","nonviolent_camp","colonized","colonized_english"
"Anti-Nkurunziza Campaign","Burundi",530,516,"BDI",2015,2015,"Nkurunziza regime","0","0","1",0,"0",1,0,1,0,0,90,119,10,1,1.093,1.239,93.889,-2.171,0.255,0.183,-1.584,0.258,0.168,0.896,-2.3,-1.618,-1.318,-1,5.6676703202974,16.1882882824453,1.59867293929233,16.4210098504297,6.41727356534236,NA,NA,NA,NA,"4",22.8382834157721,NA,NA,31.0806121826172,33.3891754150391,39.9377517700195,4,NA,5.81162820080983,8,0,0,"0",4.49980967033027,NA,"REGCHANGE",0.0840336134453782,"1",1,0
"Anti-Orban","Hungary",550,310,"HUN",2017,2019,"Prime Minister Viktor Orban","0","0","1",1,"0",1,0,1,0,0,1188,2626,234,1,1.869,2.034,99.963,0.168,0.924,0.681333333333333,2.061,2.489,0.841333333333333,1.667,0.232666666666667,0.855666666666667,1.046,10,9.57239908280778,16.0956683963392,3.83384033077256,79.3505488847822,83.7403306352144,NA,NA,NA,NA,"1",163.090879519997,NA,87.2757717031922,81.8521245320638,80.3332799275716,84.1877034505208,25,NA,8.37468197127209,0,2,1.09861228866811,"0",7.08002649992259,NA,"REGCHANGE",0.0891089108910891,"1",0,0
"Anti-Ortega Protests","Nicaragua",561,93,"NIC",2018,2019,"Gov't of Nicaragua (Ortega)","0","0","1",1,"0",1,0,1,0,0,1283,2257,172,1,1.726,1.407,88.35,-1.888,0.373,0.1615,-0.6835,0.256,0.244,-2.06,-1.836,-0.589,-1.3265,6,7.6007877025151,15.7053156289829,5.21186065310022,50.6452723183486,43.6849635601839,NA,NA,NA,NA,"2",94.3302358785325,NA,NA,62.7584819793701,58.8032245635986,59.9457664489746,2,NA,8.13409760467372,2,1,0.693147180559945,"0",7.15695636461564,NA,"REGCHANGE",0.0762073548958795,"1",1,0
"Anti-Park protests","South Korea",538,732,"KOR",2015,2017,"President Park Geun-Hye and Government of South Korea","1","0","0",0,"0",1,0,1,0,0,755,3641,395,1,1.876,1.051,99.903,1.34633333333333,0.913,0.852666666666667,1.692,2.633,0.901333333333333,0.190666666666667,1.243,3.143,1.87133333333333,8,10.2921614780186,17.751215330291,0.729988950855613,35.2669340938372,41.3521397932733,NA,NA,NA,NA,"6",76.6190738871106,81.4483291731733,37.635702134718,61.2181104024251,81.6246058146159,77.6447245279948,4,NA,7.86990982318714,0,2,1.09861228866811,"2",6.62671774924902,NA,"REGCHANGE",0.108486679483658,"1",0,0
"Anti-Rousseff","Brazil",529,140,"BRA",2015,2016,"Gov't of Brazil","1","0","0",0,"0",1,0,1,0,0,687,2009,201,1,1.5325,1.5655,88.731,2.4125,0.887,0.9175,1.877,2.001,0.85,1.575,1.7635,-0.6565,1.538,8,9.06010331853235,19.1435026981842,3.86475381615208,13.060218777161,12.6834352310646,NA,NA,NA,NA,"2",25.7436540082256,NA,70.4781789186937,39.1250514984131,61.7172908782959,63.5979385375977,5,NA,6.66865657911451,7,1,0.693147180559945,"2",6.53233429222235,NA,"REGCHANGE",0.100049776007964,"1",1,0
"Anti-Shiite Government Protests","Iraq",514,645,"IRQ",2012,2014,"Prime Minister Maliki","0","1","0",0,"0",1,0,1,0,0,504,1102,95,1,-0.42,-0.167,66.7973333333333,0.964,0.421,0.563333333333333,0.948666666666667,-1.01533333333333,0.458666666666667,0.111666666666667,0.531,-0.427,-0.687666666666667,3,8.38739124761472,17.3812118394332,-1.29695839430459,28.9624971699445,41.0378994493062,1278564480,385857380,24.5,8.5,"3",70.0003966192507,-229.373728952607,NA,40.2462743123372,38.3300387064616,43.6685689290365,3,NA,NA,5,2,1.09861228866811,"1",6.22257626807137,21.2327436694497,"REGCHANGE",0.0862068965517241,"1",1,1
"Anti-Socialist Demonstrations","Bulgaria",507,355,"BGR",2009,2009,"Socialist Government","0","0","1",0,"0",1,0,1,0,0,87,189,26,1,1.888,1.682,99.909,2.252,0.853,0.875,1.727,1.691,0.9,2.072,1.434,1.277,1.983,9,8.74650605884662,15.8229784059892,7.49019992341879,50.473795516392,42.2188500872454,NA,348458784,NA,2,"1",92.6926456036375,43.7872348981496,20.1600090951992,71.7132186889648,71.9026184082031,76.3032073974609,28,NA,8.10270104529683,0,0,0,"0",4.46590811865458,19.6690305171826,"REGCHANGE",0.137566137566138,"1",0,0
"Anti-Vucic","Serbia",553,345,"SRB",2017,2019,"Gov't of Serbia (Vucic)","0","0","1",1,"0",1,0,1,0,0,878,1815,181,1,1.35633333333333,1.47166666666667,93.2913333333333,0.482666666666667,0.83,0.610666666666667,1.48733333333333,1.68466666666667,0.773666666666667,0.794,-1.37,1.60166666666667,2.512,8,8.74241242041042,15.758974718026,7.62641361813648,59.0200564105727,50.6390043640181,NA,NA,NA,NA,"1",109.659060774591,NA,NA,72.9856821695964,77.2597249348958,78.6308288574219,NA,NA,7.80938408461216,0,2,1.09861228866811,"0",6.77764659363512,NA,"REGCHANGE",0.0997245179063361,"1",0,0
"Anti-Wade June 23 Movement","Senegal",518,433,"SEN",2012,2012,"Wade regime","1","0","0",0,"0",1,0,1,0,0,23,66,11,1,1.655,1.578,91.625,2.252,0.831,0.893,1.825,1.342,0.845,1.499,0.743,-0.041,1.155,7,7.056965949697,16.398136075247,1.56368007926785,39.5009295824637,22.4743744215738,762651712,376788704,24,15,"4",61.9753040040375,44.9076421703363,NA,49.3385162353516,48.6613006591797,59.5660858154297,5,NA,6.63377634302249,6,0,0,"2",3.13549421592915,20.8538031165598,"REGCHANGE",0.166666666666667,"1",1,0
"Anti-Yameen","Maldives",350,781,"MDV",2015,2019,"Gayoom Regime","1","0","0",0,"0",1,0,1,0,0,225,568,56,1,1.5494,1.089,96.7942,0.0348,0.5664,0.5586,1.2812,-0.2932,0.5528,-0.8066,-0.4048,0.2918,-0.3016,NA,9.21167608831799,13.0632679357956,11.0600744976268,77.9282044095011,72.4364902507802,NA,NA,NA,NA,"8",150.364694660281,NA,NA,63.6315864562988,66.5729583740234,49.9393836975098,1,NA,NA,5,4,1.6094379124341,"2",5.41610040220442,NA,"REGCHANGE",0.0985915492957746,"1",1,1
