"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr"
"M1","CSO Repression",0.0600281293952181,"90th",2.2074,2.43507631110022,1.32741037007431,4.1623454510915
"M1","CSO Repression",0.0627566807313644,"90th",2.2074,2.39865338479641,1.34133794182107,4.02121513954249
"M1","CSO Repression",0.0654852320675107,"90th",2.2074,2.3630956754892,1.34511439488111,3.9232261570393
"M1","CSO Repression",0.068213783403657,"90th",2.2074,2.32838078172249,1.33908557890764,3.81920387004905
"M1","CSO Repression",0.0709423347398032,"90th",2.2074,2.29448696691416,1.35109929312416,3.67467146341951
"M1","CSO Repression",0.0736708860759495,"90th",2.2074,2.26139313827429,1.34815781687379,3.55986995053018
"M1","CSO Repression",0.0763994374120958,"90th",2.2074,2.22907882644108,1.34232307341188,3.47050659668855
"M1","CSO Repression",0.0791279887482421,"90th",2.2074,2.19752416580896,1.34287273716243,3.36531896531311
"M1","CSO Repression",0.0818565400843883,"90th",2.2074,2.1667098755241,1.34545665216543,3.29497195985265
"M1","CSO Repression",0.0845850914205346,"90th",2.2074,2.13661724112369,1.33636736475053,3.21455751650213
"M1","CSO Repression",0.0873136427566809,"90th",2.2074,2.1072280967961,1.32866822244481,3.16618865700781
"M1","CSO Repression",0.0900421940928272,"90th",2.2074,2.07852480823999,1.33095204514848,3.10459575446497
"M1","CSO Repression",0.0927707454289735,"90th",2.2074,2.05049025610104,1.32642684111993,3.05019205873567
"M1","CSO Repression",0.0954992967651197,"90th",2.2074,2.0231078199661,1.30417888818298,2.99204919952753
"M1","CSO Repression",0.098227848101266,"90th",2.2074,1.99636136289496,1.29277131161133,2.93315125511376
"M1","CSO Repression",0.100956399437412,"90th",2.2074,1.97023521647084,1.28428529868472,2.87909248438651
"M1","CSO Repression",0.103684950773559,"90th",2.2074,1.94471416635147,1.27571616431791,2.824414030971
"M1","CSO Repression",0.106413502109705,"90th",2.2074,1.91978343830311,1.26554553502064,2.79705732125098
"M1","CSO Repression",0.109142053445851,"90th",2.2074,1.89542868470065,1.25885860815573,2.74695674599027
"M1","CSO Repression",0.111870604781997,"90th",2.2074,1.87163597147751,1.243060711651,2.69288204256187
