"Model","Estimator","DV","Moderator","Variable","Estimate","SE","p","CI_lo","CI_hi","N","Converged"
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","eng_c:trade_c",-3.18667133660451,3.3964609855013,0.348124749952502,-9.84361254308247,3.47026986987344,91,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","0:(Intercept)",1.30674950254075,1.99350948860518,0.512144584375088,-2.60045729796427,5.21395630304577,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","1:(Intercept)",1.36252363803916,2.0443127559433,0.505094943626161,-2.64425573674553,5.36930301282384,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","eng_c",-1.83887725444628,6.44202996045076,0.775299429212092,-14.4650239642578,10.7872694553652,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","lnaid_c",-0.104885370846017,0.168302676744896,0.533156448661479,-0.4347525557677,0.224981814075666,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","nonviolent_camp1",0.323487680461083,0.670696384455249,0.629581394864896,-0.991053077632434,1.6380284385546,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","REGCHANGE",-1.02404505562136,0.900081242815758,0.25523527349812,-2.78817187470029,0.740081763457578,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","v2csreprss",-0.340622316563553,0.223797458079126,0.128006186114744,-0.779257274230252,0.0980126411031453,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","lngdp",0.00195330532996645,0.238181354215506,0.993456688912556,-0.464873570721402,0.468780181381335,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","lnlengthofcam",0.410576589865708,0.376904204845814,0.276004256425977,-0.328142077253795,1.14929525698521,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","lnnum_image_sum",-0.181069413481816,0.249587089147703,0.468160135982441,-0.6702511192175,0.308112292253869,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","eng_c:lnaid_c",-10.5356222862478,6.44939015145524,0.1023461734637,-23.1761947053474,2.10495013285176,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","0:(Intercept)",0.860040423053543,2.4098466978151,0.721177189828756,-3.86317231292683,5.58325315903392,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","1:(Intercept)",0.964576909904501,2.4397228790905,0.692574783322437,-3.81719206537125,5.74634588518025,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","eng_c",-1.708065133127,6.5573166076748,0.794491740724948,-14.560169519396,11.144039253142,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","iodonor_c",-0.0088279713906309,0.0715386477922636,0.90178922527574,-0.149041144566163,0.131385201784902,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","nonviolent_camp1",0.354996850108913,0.680356815605148,0.601823239165931,-0.978478005113535,1.68847170533136,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","REGCHANGE",-0.948852013999111,0.940159088022422,0.312856560977405,-2.79152996626108,0.893825938262859,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","v2csreprss",-0.261057948132601,0.209765203341134,0.213306564723183,-0.672190191890945,0.150074295625742,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","lngdp",0.0360040966523748,0.283958032316688,0.899103662402001,-0.520543419809195,0.592551613113944,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","lnlengthofcam",0.337450996670717,0.371224164302153,0.363338421539756,-0.390134995552483,1.06503698889392,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","lnnum_image_sum",-0.18688273805439,0.227609970162868,0.41160884972991,-0.632990082095847,0.259224605987067,44,TRUE
"S8","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","IODonor","eng_c:iodonor_c",-3.81388904478956,2.23065377385702,0.0873097277578068,-8.18589010352766,0.55811201394855,44,TRUE
