"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr","panel"
"M2","Trade Freedom",0.210098452883263,"10th",5.03466546121173,10.2204773802645,2.7362326596877,26.2185034353527,"Weibull AFT"
"M2","Trade Freedom",0.21282700421941,"10th",5.03466546121173,10.6348427728033,2.76037420822253,27.6993483026276,"Weibull AFT"
"M2","Trade Freedom",0.215555555555556,"10th",5.03466546121173,11.0680302156089,2.76971692315195,29.3130348932857,"Weibull AFT"
"M2","Trade Freedom",0,"90th",8.37468197127209,11.9924217399291,3.15197769824087,31.5700218287611,"Weibull AFT"
"M2","Trade Freedom",0.00272855133614628,"90th",8.37468197127209,11.6420511799224,3.16789884155471,30.1103273007228,"Weibull AFT"
"M2","Trade Freedom",0.00545710267229256,"90th",8.37468197127209,11.3040521435451,3.19516916186564,28.5673417950521,"Weibull AFT"
"M2","Trade Freedom",0.00818565400843884,"90th",8.37468197127209,10.9779443622821,3.21328593757067,27.1034630533406,"Weibull AFT"
"M2","Trade Freedom",0.0109142053445851,"90th",8.37468197127209,10.6632676148986,3.23150548908854,25.712336143717,"Weibull AFT"
"M2","Trade Freedom",0.0136427566807314,"90th",8.37468197127209,10.3595808458112,3.24982839972034,24.4161011713671,"Weibull AFT"
"M2","Trade Freedom",0.0163713080168777,"90th",8.37468197127209,10.0664613238472,3.26825525607892,23.2566982978666,"Weibull AFT"
"M2","Trade Freedom",0.0190998593530239,"90th",8.37468197127209,9.78350383948213,3.28732846628936,22.2694812477641,"Weibull AFT"
"M2","Trade Freedom",0.0218284106891702,"90th",8.37468197127209,9.51031993873678,3.30604903482562,21.3439121391325,"Weibull AFT"
"M2","Trade Freedom",0.0245569620253165,"90th",8.37468197127209,9.24653719200573,3.29739137263487,20.4102990677644,"Weibull AFT"
"M2","Trade Freedom",0.0272855133614628,"90th",8.37468197127209,8.99179849617061,3.30904675452587,19.4200403787881,"Weibull AFT"
"M2","Trade Freedom",0.0300140646976091,"90th",8.37468197127209,8.74576140843256,3.32525768555565,18.555676420172,"Weibull AFT"
"M2","Trade Freedom",0.0327426160337553,"90th",8.37468197127209,8.50809751037336,3.34684414438263,17.7536829416022,"Weibull AFT"
"M2","Trade Freedom",0.0354711673699016,"90th",8.37468197127209,8.27849180082698,3.35614879190968,17.003156937548,"Weibull AFT"
"M2","Trade Freedom",0.0381997187060479,"90th",8.37468197127209,8.05664211621123,3.34877906669814,16.3049529934352,"Weibull AFT"
